H,K,L,Distance,2theta/TOF,Mult
0,1,1,6.6538,13.2958374448382,12
0,0,2,4.705,18.8456188811056,6
1,1,2,3.8416,23.134094296848065,24
0,1,3,2.9757,30.00512969015402,24
2,2,2,2.7164,32.94708493861557,8
1,2,3,2.5149,35.67195281715022,48
0,0,4,2.3525,38.22662025383805,6
0,3,3,2.2179,40.64561196288708,12
0,2,4,2.1041,42.94973935408638,24
2,3,3,2.0062,45.15813125537228,24
2,2,4,1.9208,47.28504381196037,24
0,1,5,1.8454,49.34290777636619,24
1,2,5,1.718,53.278069882654755,48
0,4,4,1.6634,55.172784371312055,12
0,3,5,1.6138,57.020822263719516,24
0,0,6,1.5683,58.83456875970581,6
1,1,6,1.5265,60.61174511555741,24
0,2,6,1.4878,62.36181739011757,24
1,4,5,1.4519,64.08440511278123,48
2,2,6,1.4186,65.77587517806406,24
1,3,6,1.3874,67.45017643877584,48
4,4,4,1.3582,69.10277031730561,8
0,1,7,1.3307,70.74159382798304,24
0,4,6,1.3049,72.35812638192408,24
1,2,7,1.2805,73.96329162533196,48
2,4,6,1.2574,75.55700542276317,48
0,3,7,1.2355,77.13987359095522,24
1,5,6,1.195,80.27132021855824,48
0,0,8,1.1762,81.82453794560507,6
1,1,8,1.1582,83.37703795554843,24
0,2,8,1.1411,84.91565039187624,24
3,5,6,1.1247,86.45401403163062,48
0,5,7,1.0938,89.53617607813257,24
