system,a,b,c,alpha,beta,gamma
3,5.83012,5.83012,3.18177,90.0,90.0,90.0
4,5.95294,4.77944,5.17369,90.0,90.0,90.0
6,11.02986,7.29909,9.84104,90.0,98.83374,90.0
4,5.95271,19.93906,7.0231,90.0,90.0,90.0
