H,K,L,Distance,2theta/TOF,Mult
0,0,1,8.0638,10.972004722300847,2
0,1,0,7.9788,11.089256321442376,4
1,0,-1,5.6717,15.624104354492022,8
-1,1,0,5.6419,15.70714879962546,8
-1,-1,1,4.6227,19.19995259812807,8
-1,0,2,3.5985,24.741149119317758,8
2,0,1,3.5757,24.90143051990401,8
1,-2,0,3.5682,24.954613301081142,8
-1,1,-2,3.2803,27.185024568105643,16
1,-2,-1,3.263,27.3319450283045,16
0,0,3,2.6879,33.33429416644812,2
1,2,2,2.672,33.53849896212726,8
-2,-2,1,2.6627,33.65912135834838,8
0,3,0,2.6596,33.69952486402782,4
0,-1,3,2.5472,35.23414423679001,8
0,3,-1,2.5257,35.54403163856578,8
3,1,0,2.5231,35.581882698148256,8
1,1,-3,2.4266,37.04723616796904,8
-1,-3,-1,2.408,37.34393269984385,8
0,2,3,2.2291,40.466603205865816,8
0,3,-2,2.2201,40.63787430092182,8
-2,3,0,2.2129,40.77596322139118,8
-2,1,-3,2.1469,42.08805040138591,16
3,1,-2,2.1388,42.25506845401518,16
-3,-2,1,2.134,42.35468515822992,16
0,-1,4,1.9545,46.46127759307852,8
-2,2,-3,1.9459,46.67874868244383,16
-2,3,2,1.9399,46.831721195908464,16
0,-4,1,1.9363,46.9240024948852,8
-1,4,0,1.9351,46.95484641663529,8
-1,-1,-4,1.8984,47.91881743578107,8
3,0,-3,1.8905,48.13169856133627,8
-4,1,-1,1.8817,48.37114752639968,16
-3,3,0,1.8806,48.40125208577491,8
3,-1,3,1.8396,49.551692831891884,8
-3,-3,1,1.8314,49.78861888040678,8
2,-1,-4,1.7552,52.10832605753856,16
-1,4,-2,1.7446,52.448971016225585,16
2,-4,-1,1.742,52.53323535719846,16
-3,-2,3,1.7084,53.648160183171406,16
-3,-3,2,1.7043,53.787599805265984,8
0,0,5,1.6127,57.113716567580596,2
0,-3,4,1.6065,57.35454283143607,8
0,4,-3,1.6018,57.53853336026653,8
0,-5,0,1.5957,57.779190590765964,4
0,1,5,1.5807,58.38008918025813,8
3,1,-4,1.5749,58.61598484543849,16
4,-1,3,1.5704,58.80039745116411,16
4,-3,1,1.5654,59.00674202126478,16
1,5,0,1.5647,59.03575233082246,8
1,1,5,1.5506,59.62658758586673,8
3,-3,-3,1.5409,60.040363569964846,8
5,-1,-1,1.5361,60.24737480711011,8
0,2,5,1.4952,62.07467855405934,8
2,3,4,1.4902,62.30618177880023,16
2,4,-3,1.4864,62.483356688257274,16
-3,-4,2,1.4837,62.60989728194156,16
2,-5,0,1.4816,62.70869564708667,8
2,-1,5,1.4696,63.27969320967209,16
5,1,-2,1.4587,63.80805059316209,16
-5,2,-1,1.4572,63.88149868630574,16
2,2,-5,1.4001,66.81881570484678,8
4,1,4,1.396,67.04095174804876,8
5,2,-2,1.3907,67.33047212980827,16
-4,4,1,1.3893,67.40739980763728,16
0,3,-5,1.379,67.97925148067624,8
-3,-3,-4,1.3751,68.19852251647328,8
0,-5,3,1.3721,68.36823559975875,8
5,3,0,1.3683,68.58452117403172,8
-3,-1,5,1.3588,69.13177193666192,16
5,-1,3,1.3523,69.51169333192466,16
5,3,1,1.349,69.70631562118295,16
0,1,6,1.3252,71.14584004928884,8
0,6,-1,1.312,71.97255355821252,8
1,6,0,1.3117,71.99158658395744,8
-1,1,6,1.3073,72.27200765920298,16
2,-3,-5,1.3033,72.5290186016996,16
-5,-2,3,1.2975,72.90526160868009,16
3,5,2,1.2957,73.02289841240062,16
1,-6,1,1.2947,73.08843228080644,8
-1,-2,-6,1.2577,75.60770268406245,16
0,-4,5,1.2541,75.86311483851037,8
0,-5,4,1.2512,76.07025787454138,8
4,4,-3,1.2489,76.23543749991342,8
1,-6,2,1.2473,76.35081508750774,16
2,-6,-1,1.2464,76.41588541281658,16
-4,5,0,1.246,76.44484508018334,8
4,1,5,1.2389,76.96296672786548,16
-5,1,-4,1.2361,77.16945030499222,16
4,5,1,1.2314,77.51883470765296,16
3,3,5,1.2242,78.06095681140626,8
5,-3,3,1.2194,78.42710152437412,16
3,0,-6,1.1995,79.98706355477688,8
-2,-4,-5,1.1964,80.23637874336244,16
-2,-5,4,1.1938,80.44683558780531,16
0,6,3,1.1919,80.60141966947666,8
4,-5,2,1.1905,80.71575316006995,16
-3,6,0,1.1894,80.80584369142993,8
1,-3,-6,1.1861,81.07748292324045,16
6,-1,3,1.1788,81.68578296605355,16
6,-3,-1,1.1766,81.87113928221092,16
0,0,7,1.1519,84.0198742969758,2
2,-3,-6,1.1487,84.30773140148504,16
6,2,3,1.142,84.91782073838742,16
6,3,-2,1.1408,85.02816326667606,16
-1,0,-7,1.1401,85.09268211301814,8
0,7,0,1.1398,85.12036752576002,4
4,-3,-5,1.1343,85.63163435910926,16
-3,5,4,1.1321,85.83812943093422,16
5,-4,3,1.1305,85.98903106496608,16
-7,0,1,1.1286,86.16902463919105,8
-7,-1,0,1.1283,86.19752431117664,8
5,-1,-5,1.123,86.70463978652073,16
-1,7,1,1.1174,87.24803355857063,16
2,0,7,1.1067,88.30866611321575,8
-1,-4,-6,1.1038,88.60133567451726,16
1,6,-4,1.0994,89.04974843488434,16
-7,0,-2,1.0968,89.31723048005718,8
-4,6,1,1.0962,89.37922521078362,16
7,2,0,1.0959,89.41026049012517,8
3,3,-6,1.0934,89.66987616504086,8
5,2,5,1.091,89.92078164154819,8
3,-6,3,1.0876,90.27907696445583,8
-7,-1,-2,1.0866,90.38510001665618,16
-7,-2,-1,1.0859,90.45949126350325,16
2,2,-7,1.0664,92.59188690675305,8
4,4,-5,1.0617,93.12394528546659,8
4,5,4,1.0599,93.32965896933283,8
2,-7,2,1.0576,93.59410889803925,8
0,3,7,1.057,93.66339234598908,8
0,7,-3,1.0493,94.56363085242927,8
3,-1,-7,1.0479,94.72956279555316,16
-3,7,0,1.0476,94.76521135834845,8
-3,-5,5,1.0434,95.26772752508187,16
7,1,-3,1.0404,95.63065013534435,16
-3,7,1,1.0389,95.81337641944062,16
0,-5,-6,1.0279,97.17991306606501,8
0,-6,5,1.026,97.42081645682961,8
6,-3,4,1.0244,97.62482597963572,16
-4,6,-3,1.0231,97.79136092052379,16
-3,2,-7,1.0218,97.95859853570381,16
-6,-5,0,1.0215,97.99729220146668,8
1,-5,6,1.0195,98.25621885605429,16
-1,-6,5,1.0176,98.50377326048775,16
7,2,3,1.0148,98.8714242515956,16
7,-3,-2,1.014,98.97709462546327,16
-6,5,-1,1.0134,99.05653193890609,16
0,1,8,1.0,100.87315215497985,8
-4,0,-7,0.9975,101.22140618198264,8
5,-2,-6,0.9954,101.51629729307035,16
-6,-2,5,0.9936,101.77079890951833,16
0,-7,4,0.9922,101.96986681990005,8
-6,-5,-2,0.9902,102.25597292081551,16
0,-8,1,0.9898,102.31343953749312,8
8,-1,0,0.9896,102.34220370170343,8
5,4,5,0.986,102.86351019019104,8
1,7,4,0.9846,103.06807964939736,16
-3,-3,-7,0.9823,103.4064320230357,8
-4,7,1,0.9822,103.42120769756916,16
3,7,-3,0.9761,104.33292673805241,16
2,-1,8,0.97,105.2657308488223,16
4,2,-7,0.9677,105.6231141509597,16
-7,2,-4,0.9628,106.39519903685283,16
7,-4,2,0.9611,106.66654675865497,16
-2,8,-1,0.9606,106.74670249349657,16
-5,3,6,0.9588,107.03658494508304,16
-3,6,5,0.9572,107.2960128856023,16
-5,-6,-3,0.9549,107.67187750818603,16
0,-3,8,0.9425,109.76065767565002,8
-1,6,6,0.9387,110.42294121365268,8
-1,3,8,0.936,110.90017911123678,16
8,0,-3,0.935,111.07837076638182,8
-5,0,-7,0.934,111.25734997058271,8
-6,6,-1,0.9339,111.27529147775024,16
-3,8,0,0.9338,111.29324093822308,8
7,0,-5,0.9308,111.83545886240421,8
3,7,4,0.9296,112.054396199043,16
7,4,3,0.9287,112.21938004230128,16
3,8,-1,0.9276,112.42194487029954,16
7,5,0,0.9275,112.44041024839302,8
5,5,-5,0.9245,112.99832863871623,8
-5,-7,-1,0.9214,113.58304946105926,16
2,-3,8,0.9173,114.36962460523098,16
-4,-5,6,0.9137,115.07315125254559,16
