H,K,L,Distance,2theta/TOF,Mult
0,0,2,4.0319,22.04624617154716,2
0,2,0,3.9894,22.28409947422316,4
0,2,2,2.8358,31.549090928633568,8
2,2,0,2.8209,31.720111603480973,4
2,-2,2,2.3113,38.96803427634409,8
0,0,-4,2.0159,44.96729821316996,2
0,4,0,1.9947,45.47182222843258,4
0,-2,4,1.7992,50.74218576368414,8
0,-4,-2,1.7878,51.088944846449984,8
4,2,0,1.7841,51.20255083067416,8
-2,2,4,1.6401,56.07437156005852,16
-4,-2,-2,1.6315,56.396288329301754,8
4,0,4,1.4179,65.87248996187442,8
4,4,0,1.4104,66.2676897807822,4
0,0,6,1.3439,70.00943391973667,2
-2,4,4,1.336,70.48466904018203,8
-4,4,2,1.3313,70.77074971078409,16
0,-6,0,1.3298,70.86258511596581,4
0,2,-6,1.2736,74.50198677550654,8
0,6,2,1.2628,75.24910730467487,8
6,-2,0,1.2615,75.34015646188641,8
-2,2,6,1.2133,78.89799267769742,16
-2,6,2,1.204,79.62823807684451,16
4,4,4,1.1556,83.68982914234229,1
-4,0,-6,1.1145,87.53255670514908,8
6,0,-4,1.11,87.97836125891156,8
-4,6,0,1.1064,88.33883750079352,8
-4,-2,-6,1.0734,91.81276883915977,16
-6,-2,-4,1.0694,92.25605508105522,16
6,4,-2,1.067,92.52448708654414,16
0,0,8,1.0079,99.79218451675716,2
-8,0,0,0.9973,101.24939775028713,4
2,0,8,0.9772,104.16698709188864,8
4,-4,6,0.9729,104.81957775979751,16
-4,-6,-4,0.9699,105.28120369316201,8
0,-8,-2,0.9681,105.56073303405915,8
-8,2,0,0.9675,105.65434085538092,8
-2,-2,8,0.9492,108.61868696036322,8
0,6,-6,0.9452,109.2965814011075,8
-8,-2,-2,0.9408,110.05560481568257,8
6,6,0,0.9403,110.1427642191394,4
2,6,6,0.9198,113.88818488349365,8
-6,-6,2,0.9157,114.68078852508847,8
0,4,-8,0.8996,117.95359226382601,8
8,0,4,0.8939,119.17949139007152,8
-8,4,0,0.892,119.596648523911,8
2,-4,-8,0.8776,122.90978926849876,16
2,8,4,0.8723,124.20315585760234,16
-4,8,2,0.871,124.52706604695027,16
