system,a,b,c,alpha,beta,gamma
6,4.93775,8.53689,5.03112,90.0,109.47296,90.0
2,2.85904,2.85904,14.22849,90.0,90.0,120.0
1,8.10962,8.10962,8.10962,90.0,90.0,90.0
