H,K,L,Distance,2theta/TOF,Mult
0,0,2,7.0805,12.501434225634426,2
0,0,3,4.7203,18.799322341174413,2
0,0,-4,3.5402,25.155202578655377,2
0,0,5,2.8322,31.59023989567347,2
0,1,0,2.4807,36.210933814889245,6
1,0,-1,2.4435,36.78179189965465,12
0,0,6,2.3601,38.13079709891244,2
-1,0,2,2.3411,38.45236843641248,12
0,-1,3,2.1959,41.10585034918719,12
0,-1,4,2.0316,44.60102824091366,12
0,0,7,2.0229,44.80323114729741,2
0,1,5,1.8661,48.80174127291976,12
0,0,8,1.7701,51.63720874829497,2
0,1,6,1.7099,53.5973341161758,12
0,0,-9,1.5734,58.677319985334634,2
-1,0,-7,1.5677,58.91163397701468,12
0,1,8,1.4409,64.69144695171971,12
1,1,0,1.4322,65.13281692586534,6
-1,-1,1,1.4249,65.50817344174408,12
0,0,-10,1.4161,65.96687561916261,2
1,1,2,1.4038,66.61970689593626,12
1,1,-3,1.3705,68.45912318138079,12
1,0,-9,1.3287,70.93009624603116,12
-1,-1,-4,1.3277,70.99159172791839,12
0,0,-11,1.2873,73.57742552368528,2
1,1,5,1.2781,74.19548908382447,12
0,2,0,1.2403,76.86018491644622,6
2,0,1,1.2356,77.20645217155761,12
0,1,-10,1.2298,77.63857976642441,12
1,1,6,1.2244,78.04578359964822,12
0,2,2,1.2217,78.25117940583063,12
0,2,3,1.1996,79.97905014426175,12
0,0,12,1.18,81.58507960423671,2
0,-2,4,1.1705,82.3901100139571,12
1,1,7,1.1689,82.52747338573656,12
0,-1,11,1.1426,84.86277276029047,12
0,2,5,1.1361,85.46353350272233,12
-1,-1,8,1.1134,87.641044889145,12
0,2,-6,1.0979,89.20383522286961,12
