code,H,K,L,Mult,wi,Ai,mu_i,intensity,L_gamma_i,G_sigma2_i,a=9.408510,b=9.408510,c=9.408510,alpha=90.000000,beta=90.000000,gamma=90.000000
0,6,2,0,24,98.9498912,0.994807234,62.3703912,253.0750833,0.124868921,0.00911929,,,,,,
1,6,2,0,24,56.97929876,0.980948977,62.54249378,24.05968661,0.756931238,0.609169498,,,,,,
0,4,5,1,12,630.8044122,0.613216981,64.09109241,1639.501011,0.149402456,0.014250992,,,,,,
1,4,5,1,12,202.8210799,0.732889172,64.26908842,75.17659833,0.841025284,1.305269083,,,,,,
0,5,4,1,12,630.8044122,0.613216981,64.09109241,1639.501011,0.149402456,0.014250992,,,,,,
1,5,4,1,12,202.8210799,0.732889172,64.26908842,75.17659833,0.841025284,1.305269083,,,,,,
0,6,2,2,24,2681.20776,0.847562307,65.78704055,5152.675774,0.174584053,0.026095795,,,,,,
1,6,2,2,24,853.9094215,0.691063106,65.9709552,2282.995199,0.132743305,0.014702227,,,,,,
0,3,6,1,24,421.6591783,0.705630108,67.46070102,1026.517944,0.145666167,0.017312584,,,,,,
1,3,6,1,24,99.85748527,0.790657306,67.65056927,45.82645531,0.725673556,0.554998898,,,,,,
0,6,3,1,12,421.6591783,0.705630108,67.46070102,1026.517944,0.145666167,0.017312584,,,,,,
1,6,3,1,12,99.85748527,0.790657306,67.65056927,45.82645531,0.725673556,0.554998898,,,,,,
0,4,4,4,24,605.2718564,0.963849739,69.11430628,849.6918963,0.294432634,0.001588893,,,,,,
1,4,4,4,24,169.0401181,0.974837874,69.31017257,317.0582604,0.212541229,0.000583159,,,,,,
0,1,7,0,24,33.04225728,0.963678199,70.74989218,69.44786511,0.157467871,0.008878385,,,,,,
1,1,7,0,24,10.54461701,0.998955441,70.95181025,7.749616146,0.443916789,0.0005,,,,,,
0,4,5,3,24,33.04225728,0.963678199,70.74989218,69.44786511,0.157467871,0.008878385,,,,,,
1,4,5,3,24,10.54461701,0.998955441,70.95181025,7.749616146,0.443916789,0.0005,,,,,,
0,5,4,3,24,33.04225728,0.963678199,70.74989218,69.44786511,0.157467871,0.008878385,,,,,,
1,5,4,3,24,10.54461701,0.998955441,70.95181025,7.749616146,0.443916789,0.0005,,,,,,
0,5,5,0,12,33.04225728,0.963678199,70.74989218,69.44786511,0.157467871,0.008878385,,,,,,
1,5,5,0,12,10.54461701,0.998955441,70.95181025,7.749616146,0.443916789,0.0005,,,,,,
0,7,1,0,12,33.04225728,0.963678199,70.74989218,69.44786511,0.157467871,0.008878385,,,,,,
1,7,1,0,12,10.54461701,0.998955441,70.95181025,7.749616146,0.443916789,0.0005,,,,,,
0,4,6,0,12,41.01893436,0.998492059,72.36932786,76.7057623,0.170610762,0.007151099,,,,,,
1,4,6,0,12,105.8221681,0.938735997,72.57736072,41.02172155,0.814367298,1.390576617,,,,,,
0,6,4,0,24,41.01893436,0.998492059,72.36932786,76.7057623,0.170610762,0.007151099,,,,,,
1,6,4,0,24,105.8221681,0.938735997,72.57736072,41.02172155,0.814367298,1.390576617,,,,,,
0,2,7,1,12,144.7787465,0.985129444,73.97434089,349.1405079,0.142467506,0.000794221,,,,,,
1,2,7,1,12,66.27714151,0.81482937,74.18856085,22.94730935,0.852077634,3.117682286,,,,,,
0,5,5,2,12,144.7787465,0.985129444,73.97434089,349.1405079,0.142467506,0.000794221,,,,,,
1,5,5,2,12,66.27714151,0.81482937,74.18856085,22.94730935,0.852077634,3.117682286,,,,,,
0,6,3,3,24,144.7787465,0.985129444,73.97434089,349.1405079,0.142467506,0.000794221,,,,,,
1,6,3,3,24,66.27714151,0.81482937,74.18856085,22.94730935,0.852077634,3.117682286,,,,,,
0,7,2,1,12,144.7787465,0.985129444,73.97434089,349.1405079,0.142467506,0.000794221,,,,,,
1,7,2,1,12,66.27714151,0.81482937,74.18856085,22.94730935,0.852077634,3.117682286,,,,,,
0,4,6,2,24,27.87225661,0.829175967,75.56653836,113.7429235,0.255465588,0.0005,,,,,,
1,4,6,2,24,156.7512781,0.85289274,75.78702713,66.02920906,0.746497625,1.039614555,,,,,,
0,6,4,2,6,27.87225661,0.829175967,75.56653836,113.7429235,0.255465588,0.0005,,,,,,
1,6,4,2,6,156.7512781,0.85289274,75.78702713,66.02920906,0.746497625,1.039614555,,,,,,
0,3,7,0,24,100.4956473,0.844108281,77.14742491,155.2169299,0.354703134,0.00624457,,,,,,
1,3,7,0,24,181.3163857,0.786879071,77.37427383,80.86327268,0.677962778,1.234210298,,,,,,
0,7,3,0,6,100.4956473,0.844108281,77.14742491,155.2169299,0.354703134,0.00624457,,,,,,
1,7,3,0,6,181.3163857,0.786879071,77.37427383,80.86327268,0.677962778,1.234210298,,,,,,
