H,K,L,Distance,2theta/TOF,Mult
0,12,-4,1.208,79.31230291786106,4
2,10,4,1.2059,79.47781723645586,8
-4,8,2,1.2015,79.82713766030128,8
3,7,4,1.1947,80.3738445156527,8
-4,10,0,1.1935,80.47119915740377,4
2,-6,-5,1.1874,80.97022764427948,8
4,-10,1,1.1766,81.87113928221092,8
-4,6,-3,1.1755,81.96417553569641,8
5,-1,-1,1.1723,82.23619571139135,4
0,0,6,1.1713,82.3216229403452,2
-1,9,-5,1.1644,82.91661640333004,8
0,2,-6,1.1633,83.01237671781146,4
3,11,3,1.1628,83.05598748260878,4
5,3,1,1.1565,83.60999533731139,8
-1,1,6,1.1474,84.42531998979156,8
-3,-1,5,1.1452,84.6251753084403,8
0,4,6,1.1403,85.07423667234221,4
4,0,4,1.1359,85.48217382236196,4
-2,-8,-5,1.1326,85.79109791132991,8
1,-3,-6,1.1325,85.80049945817849,8
3,-9,4,1.1316,85.8852204926282,8
3,3,5,1.1304,85.99848275996273,1
4,10,2,1.1301,86.02685224699613,8
4,-2,4,1.1286,86.16902463919105,4
5,5,-1,1.1266,86.35943506527036,1
5,1,-2,1.1262,86.39763401702744,8
-4,-8,-3,1.1223,86.7721345865327,8
-2,12,4,1.1194,87.0530589905255,8
5,-3,2,1.1122,87.75975326518261,8
4,12,0,1.1094,88.03820218117116,4
4,4,4,1.1075,88.22832660329041,1
0,6,-6,1.1048,88.50015927688311,4
1,-5,6,1.1044,88.54059740011512,8
-3,-5,5,1.1025,88.73327029854201,8
4,12,-1,1.0959,89.41026049012517,8
1,11,-5,1.0924,89.77421964660934,8
-2,0,-6,1.09,90.02581434162224,4
-5,-7,-1,1.0859,90.45949126350325,8
-5,-5,2,1.0855,90.50206551843829,1
-2,2,6,1.0836,90.70494171748891,8
-4,-6,-4,1.0749,91.64784009428632,4
0,12,-5,1.0736,91.79073755167545,4
-2,-10,5,1.0722,91.94522133629339,8
1,-7,-6,1.066,92.63688535310132,8
3,-11,-4,1.0652,92.72703929710767,8
2,4,6,1.0649,92.7609011541586,8
3,-7,5,1.0643,92.82871370527887,8
4,10,3,1.0634,92.93065532666121,8
0,8,-6,1.0603,93.28385063796007,4
5,-1,3,1.0602,93.29529766204648,8
-4,12,2,1.0579,93.5595133487205,8
5,7,-2,1.0489,94.61096821548823,8
5,-3,3,1.0485,94.65836292599691,8
-5,-9,1,1.0378,95.9479173706674,8
2,6,6,1.0358,96.19372186941301,4
4,8,-4,1.0338,96.44106985956152,8
5,-5,3,1.0261,97.40810069919195,8
-1,-9,-6,1.0204,98.1394927510307,8
-3,9,5,1.0189,98.33422736294763,8
4,2,-5,1.0167,98.62157643728698,8
2,12,-5,1.01,99.50969437015986,8
-3,-1,-6,1.0075,99.8462197016719,8
