system,a,b,c,alpha,beta,gamma
1,3.55072,3.55072,3.55072,90.0,90.0,90.0
1,3.605,3.605,3.605,90.0,90.0,90.0
1,2.8802,2.8802,2.8802,90.0,90.0,90.0
