system,a,b,c,alpha,beta,gamma
1,3.55103,3.55103,3.55103,90.0,90.0,90.0
1,3.60808,3.60808,3.60808,90.0,90.0,90.0
1,2.88224,2.88224,2.88224,90.0,90.0,90.0
