No.,H,K,L,Mult,2theta/,Ints/
1,-1,-1,1,24,24.368350986110578,33.76577713972379
2,0,2,2,12,40.32123933964115,18.356368044914852
3,-1,-3,-1,24,47.67599995846947,5.060117606171149
4,0,4,0,6,58.34366396336539,3.003008364662979
5,3,-1,3,24,64.16720574282917,2.024091108301046
6,-2,2,4,48,73.30561277545446,11.82021189407681
7,3,-3,-3,24,78.57309703419351,1.0904505261166408
8,4,0,4,12,87.15041965253347,1.8284956509958912
9,5,3,1,48,92.25605508105522,1.508692827177462
10,0,6,2,24,100.83156449326611,2.769685020816007
11,5,-3,3,48,106.07827958436678,1.2733982692440324
12,4,4,4,8,115.19160894101846,0.8677385157257714
13,-1,7,1,48,120.96635636031984,1.2891381205759391
