system,a,b,c,alpha,beta,gamma
6,4.93851,8.53307,5.03076,90.0,109.45609,90.0
2,2.85817,2.85817,14.23234,90.0,90.0,120.0
1,8.17342,8.17342,8.17342,90.0,90.0,90.0
