system,a,b,c,alpha,beta,gamma
6,4.93863,8.53325,5.03026,90.0,109.45083,90.0
2,2.85931,2.85931,14.23073,90.0,90.0,120.0
1,8.15584,8.15584,8.15584,90.0,90.0,90.0
