H,K,L,Distance,2theta/TOF,Mult
0,1,0,8.532,10.368210839170139,2
1,0,0,4.6549,19.065894306230017,2
0,-1,-1,4.1452,21.436426908854358,4
1,0,-1,4.068,21.848187853266776,2
1,-2,0,3.145,28.378512382965642,4
1,-2,-1,2.944,30.36108103963791,4
-1,0,-1,2.8773,31.082460830675817,4
0,3,0,2.844,31.45576707333246,2
-1,0,2,2.4721,36.34129707674152,2
0,3,-1,2.439,36.8520930150566,4
1,-2,1,2.3854,37.71102079129894,4
2,1,-1,2.3412,38.45066146445315,4
0,1,-2,2.2847,39.44040904459003,4
2,1,0,2.2454,40.16014256730618,4
-1,2,2,2.1389,42.252998215686226,4
2,-1,-2,1.9785,45.86528747588944,4
-1,4,0,1.9391,46.85219575911235,4
1,4,-1,1.889,48.172340215289225,4
-1,0,-2,1.8753,48.54684654741083,2
2,-3,-1,1.8495,49.26874362388112,4
0,3,-2,1.8212,50.08663209172636,4
-2,-1,-1,1.8162,50.2340732913924,4
-2,3,0,1.8011,50.68486739337542,4
1,2,2,1.7167,53.36817789429506,4
1,4,1,1.7135,53.47576079912168,4
0,-5,0,1.7064,53.716085068442254,2
-1,0,3,1.6766,54.74989223341255,2
-2,3,2,1.6544,55.54753926516054,4
3,0,-1,1.6456,55.870507987015095,2
-1,-4,2,1.6149,57.02877238935565,4
0,5,1,1.6056,57.3896791732478,4
-1,-2,3,1.5604,59.21462146865085,4
3,0,-2,1.5577,59.32752097236261,2
2,-3,1,1.5559,59.40304033978795,4
0,-1,3,1.5544,59.46612851181616,4
3,0,0,1.5516,59.58427283158728,2
-2,-1,3,1.5478,59.74540766434475,4
-3,-2,1,1.5353,60.282023694899195,4
3,2,-2,1.4632,63.588784116166224,4
3,2,0,1.4581,63.83740817791595,4
-2,1,-2,1.4186,65.8358626860435,4
-1,4,-2,1.4083,66.37926069098432,4
-2,5,1,1.3973,66.97034636651975,4
0,5,2,1.385,67.64486747118332,4
0,-3,3,1.3817,67.82833808606539,4
2,3,-3,1.3771,68.08588527942904,4
2,-5,0,1.3761,68.14215361181589,4
1,0,3,1.3648,68.78504562712132,2
1,6,0,1.3599,69.06792225681134,4
3,0,-3,1.356,69.29487714598417,2
3,0,1,1.3479,69.7714528434467,2
-1,-6,1,1.3423,70.10512092284684,4
1,-4,-3,1.3181,71.58791906419206,4
2,-5,-2,1.3072,72.27840864274775,4
3,-4,-1,1.3029,72.55482981744287,4
-1,2,-3,1.2999,72.74905721971204,4
-3,-2,3,1.2922,73.25283297529013,4
3,-2,1,1.2853,73.71082250217876,4
2,3,2,1.2837,73.81792356489426,4
1,-6,1,1.2748,74.4199815496059,4
-3,-4,2,1.2579,75.59356890401708,4
-2,-5,-1,1.257,75.65721700173928,4
-3,4,0,1.2547,75.82041353717901,4
-1,0,4,1.2531,75.93440217697055,2
1,6,-2,1.2326,77.42929560515994,4
2,-1,-4,1.2233,78.12931786356671,4
0,7,0,1.2188,78.4731397901548,2
-4,1,1,1.2163,78.66561845387379,4
-4,1,2,1.2051,79.54107448869436,4
-1,2,4,1.2023,79.76336839663762,4
