H,K,L,Distance,2theta/TOF,Mult
-1,1,0,2.507,35.81810722168524,24
0,2,0,1.7727,51.55590704583652,6
1,-2,-1,1.4474,64.36584205172827,48
0,2,2,1.2535,75.9058694414317,12
3,1,0,1.1211,86.88812381146039,24
2,-2,2,1.0235,97.74004481381245,24
-2,1,-3,0.9475,108.9054072646355,48
0,4,0,0.8863,120.87507397229123,6
