No.,H,K,L,Mult,2theta/,Ints/
1,2,0,0,6,18.843355797941587,2.020800302242817
2,2,0,0,6,18.89051881484573,2.0084769172227848
3,2,1,1,24,23.1312031105418,6.84596384337921
4,2,1,1,24,23.189368590968687,6.804289827833415
5,2,2,0,12,26.771464713286573,7.1340849249953155
6,2,2,0,12,26.839103427064146,7.0879634308838595
7,1,3,0,12,30.00144133260908,0.44833924853321927
8,3,1,0,12,30.0776062116117,0.8129661821898417
9,1,3,0,12,30.00144133260908,0.44833924853321927
10,3,1,0,12,30.0776062116117,0.8129661821898417
11,2,2,2,8,32.94264068109919,2.7426536304403197
12,2,2,2,8,33.02668237851397,2.723520891084208
13,2,3,1,24,35.667150549067216,4.128310966356514
14,3,2,1,24,35.75859639837336,0.392851648207727
15,2,3,1,24,35.667150549067216,4.128310966356514
16,3,2,1,24,35.75859639837336,0.392851648207727
17,4,0,0,6,38.22189467582875,0.9570664729446008
18,4,0,0,6,38.32038725162079,0.9502640377468163
19,3,3,0,12,40.63944668765223,0.2910215393550671
20,4,1,1,24,40.744708893039146,3.8128730899553207
21,3,3,0,12,40.63944668765223,0.2910215393550671
22,4,1,1,24,40.744708893039146,3.8128730899553207
23,2,4,0,12,42.94351858646814,0.20433931966239896
24,4,2,0,12,43.05533218308303,0.458937602058372
25,2,4,0,12,42.94351858646814,0.20433931966239896
26,4,2,0,12,43.05533218308303,0.458937602058372
27,3,3,2,24,45.152015766168645,0.2399249958806962
28,3,3,2,24,45.27020737698459,0.23805494996443888
29,4,2,2,24,47.27885988138215,0.691264357414099
30,4,2,2,24,47.40329144819813,0.6856778047812642
31,1,5,0,12,49.33513731895515,0.11305470080150339
32,3,4,1,24,49.465699365231806,0.5786677608664782
33,4,3,1,24,49.33513731895515,0.6689517036266324
34,5,1,0,12,49.465699365231806,0.04937418929612125
35,1,5,0,12,49.33513731895515,0.11305470080150339
36,3,4,1,24,49.465699365231806,0.5786677608664782
37,4,3,1,24,49.33513731895515,0.6689517036266324
38,5,1,0,12,49.465699365231806,0.04937418929612125
39,2,5,1,24,53.27045733171976,0.8895684069716837
40,5,2,1,24,53.41304304621967,0.4759503178863043
41,2,5,1,24,53.27045733171976,0.8895684069716837
42,5,2,1,24,53.41304304621967,0.4759503178863043
43,4,4,0,12,55.16318722320678,0.9001660100057027
44,4,4,0,12,55.31170351706031,0.8925252675816617
45,3,5,0,12,57.01335013893055,0.17179917975424003
46,4,3,3,24,57.1677638530565,0.45051150587496475
47,5,3,0,12,57.01335013893055,0.2772243846870591
48,3,5,0,12,57.1677638530565,0.17031851921685479
49,4,3,3,24,57.01335013893055,0.45445251623198035
50,5,3,0,12,57.1677638530565,0.27482826545324934
51,4,4,2,24,58.825506610577584,1.384237190227758
52,6,0,0,6,58.98579820995981,0.09575556978464096
53,4,4,2,24,58.825506610577584,1.384237190227758
54,6,0,0,6,58.98579820995981,0.09575556978464096
55,3,5,2,24,60.60361813271824,0.18848105745280594
56,5,3,2,24,60.76978046079091,0.4252667779873336
57,6,1,1,24,60.60361813271824,0.20848382353149353
