H,K,L,Distance,2theta/TOF,Mult
0,0,1,3.1813,28.04803506914862,2
0,2,0,2.9158,30.661893567657213,4
1,0,-1,2.7927,32.04898773747817,8
1,-2,0,2.608,34.386818184060836,8
-1,-1,1,2.5188,35.64466286058508,8
2,0,1,2.1495,42.03472628470831,8
2,2,0,2.0618,43.9134626858241,4
1,-2,-1,2.0168,44.94613462141974,16
0,3,0,1.9439,46.72962479994095,4
3,1,0,1.8441,49.422663072702115,8
-2,-2,1,1.7302,52.9192402051122,8
0,3,-1,1.6587,55.39114394711067,8
-2,3,0,1.6174,56.932566731353376,8
-1,-3,-1,1.5954,57.79108088812439,8
0,0,2,1.5906,57.98202899507699,2
-1,0,2,1.5345,60.31671480432505,8
-1,1,-2,1.484,62.595810278128766,16
0,4,0,1.4579,63.84720045111501,4
-3,-2,1,1.4417,64.65118239602198,16
-1,4,0,1.4143,66.06155220319295,8
0,2,2,1.3963,67.02464397162345,8
-3,3,0,1.3745,68.23239225577389,8
1,2,2,1.3579,69.18410780255618,8
0,-4,1,1.3253,71.13965608907299,8
4,2,0,1.304,72.4838973224973,8
-4,1,-1,1.2924,73.23965105614525,16
-3,-3,1,1.2618,75.31912350870974,8
2,-2,2,1.2594,75.48775158415569,8
0,3,-2,1.231,77.54873237073939,8
2,-4,-1,1.2065,79.43044836359375,16
3,1,-2,1.2044,79.59651741288422,16
0,-5,0,1.1663,82.75180324907262,4
1,5,0,1.1436,84.77120804330112,8
-2,3,2,1.1341,85.65035929713294,16
4,-3,1,1.095,89.50351842317795,16
2,-5,0,1.0829,90.77995700549609,8
5,-1,-1,1.0762,91.50547036213958,8
0,-4,-2,1.0747,91.66978988184408,8
0,0,3,1.0604,93.27240698338528,2
-1,4,-2,1.0569,93.67495157997716,16
0,-1,3,1.0433,95.27977104675966,8
-3,-3,2,1.04,95.67929415675378,8
4,4,0,1.0309,96.8025027609934,4
1,1,-3,1.027,97.29384236534236,8
-5,2,-1,1.0251,97.53544245290867,16
-4,-2,-2,1.0084,99.7247432739069,8
