H,K,L,Distance,2theta/TOF,Mult
-1,-1,1,4.7121,18.832334412412322,24
0,2,2,2.8855,30.99190880476423,12
-1,-3,-1,2.4608,36.51404854231666,24
2,-2,2,2.356,38.199723597037305,24
0,4,0,2.0404,44.39840219032523,6
3,-1,3,1.8723,48.62966103725211,24
-2,2,4,1.6659,55.13132808286653,48
3,-3,-3,1.5707,58.78806519334745,24
4,0,4,1.4427,64.60092705841895,12
5,3,1,1.3795,67.95124987344788,48
-4,4,2,1.3602,69.0505308748954,48
0,6,2,1.2904,73.37170505992316,24
5,-3,3,1.2446,76.54639605741009,48
-2,6,2,1.2304,77.59362708247565,48
