H,K,L,Distance,2theta/TOF,Mult
0,2,0,2.9158,30.661893567657213,4
1,0,-1,2.7927,32.04898773747817,8
2,2,0,2.0618,43.9134626858241,4
1,-2,-1,2.0168,44.94613462141974,16
0,3,-1,1.6587,55.39114394711067,8
-1,1,-2,1.484,62.595810278128766,16
0,4,0,1.4579,63.84720045111501,4
-3,-2,1,1.4417,64.65118239602198,16
4,2,0,1.304,72.4838973224973,8
-4,1,-1,1.2924,73.23965105614525,16
3,1,-2,1.2044,79.59651741288422,16
4,-3,1,1.095,89.50351842317795,16
0,-1,3,1.0433,95.27977104675966,8
-3,-3,2,1.04,95.67929415675378,8
4,4,0,1.0309,96.8025027609934,4
-5,2,-1,1.0251,97.53544245290867,16
