system,a,b,c,alpha,beta,gamma
6,4.93796,8.53515,5.03079,90.0,109.45097,90.0
2,2.85915,2.85915,14.22636,90.0,90.0,120.0
1,8.20183,8.20183,8.20183,90.0,90.0,90.0
