code,H,K,L,Mult,wi,Ai,mu_i,intensity,L_gamma_i,G_sigma2_i,a=2.859310,b=2.859310,c=14.230730,alpha=90.000000,beta=90.000000,gamma=120.000000
0,0.0,0.0,2.0,2,29.35247205475363,0.9999781530248171,12.4298344038384,7.830335755521444,1.1932014873435943,2.5716300799913006
1,0.0,0.0,2.0,2,60.144250851766294,1.0,12.460784986821718,16.092045650828783,1.1896877537287553,0.0005
0,0.0,0.0,3.0,2,1513.1420740772173,0.7210509183999649,18.690978932576247,8026.045998925342,0.06887690323962348,0.0031848110121001734
1,0.0,0.0,3.0,2,114.90665872685801,0.9967483065450301,18.73775366189189,208.22929722316016,0.17750095001490662,0.0027569664475920524
0,0.0,0.0,-4.0,2,0.07243256723759409,0.9999931907666081,25.009008878318387,0.01569868276213505,1.4692990359440194,0.000801115796912713
1,0.0,0.0,-4.0,2,0.15845601723697844,0.999999730532063,25.072044356039363,0.033715225289185864,1.4960052555235974,0.24964322222240273
0,0.0,0.0,5.0,2,5.861237527078494,0.9999981786305528,31.405358019009466,1.8119194232421065,1.0297823205292873,0.0005
1,0.0,0.0,5.0,2,0.336882923097543,0.9532927794579038,31.4852684658613,0.7662823380212738,0.15415421134644872,0.00370344144178469
0,0.0,1.0,0.0,6,6.19891181389659,0.8902247231932694,36.24818353476387,3.1866465586669177,1.0950817727955353,0.029425326218863172
1,0.0,1.0,0.0,6,6.663381065429378,0.8370909065184978,36.34122285674362,1.4111715638810272,1.4436824724734607,5.703139420658486
0,1.0,0.0,-1.0,12,171.5527926903215,0.9385209237594306,36.81223532454678,499.0316131847333,0.1354666303968268,0.0012149931806399016
1,1.0,0.0,-1.0,12,128.70872393678405,0.5628888986363761,36.90682663652859,904.0672901349459,0.14710438069082288,0.0009020481068369185
0,0.0,0.0,6.0,2,27.139845774880644,0.7915631185516101,37.90383352900079,57.358332425017416,0.2763210642449727,0.004789131894099469
1,0.0,0.0,6.0,2,12.135429839844107,0.8245328234909852,38.00144299101028,30.655020953015207,0.3063345805447753,0.0017584807429956513
0,-1.0,0.0,2.0,12,50.71742755409978,0.7399163435234115,38.46173933903997,179.25953107644722,0.14530791750419036,0.002939904444648914
1,-1.0,0.0,2.0,12,34.8606503159053,0.5563740581524714,38.56089898455297,209.60811253357252,0.11128764383498481,0.0016022821452249547
0,0.0,-1.0,3.0,12,4.5984287445527805,0.4826621097236733,41.085991358932645,14.773355595041199,0.15064483698502718,0.00885839129277071
1,0.0,-1.0,3.0,12,0.10618664957047062,0.9414769362559093,41.19251543743337,1.5340025464128793,0.022360679774997897,0.0005
0,0.0,-1.0,4.0,12,267.5383884667977,0.8467518163564458,44.5445965355463,988.2509375250329,0.11215153482738668,0.002244008784065283
1,0.0,-1.0,4.0,12,319.6445679328965,0.5451799433043629,44.6610239431608,1629.7503119063956,0.1007864156740788,0.0028872580693462676
0,0.0,0.0,7.0,2,278.4035311727815,0.8398019888396548,44.53157652433723,916.0010563191213,0.11657441641837499,0.004108351088030045
1,0.0,0.0,7.0,2,323.92864212150613,0.5508980491907364,44.647966200888284,1552.3955378269998,0.10455930870033898,0.003307577399480495
0,0.0,1.0,5.0,12,46.406543172947934,0.7836370373855533,48.70276429867329,170.43225430564414,0.11969718594896597,0.002952013062688116
1,0.0,1.0,5.0,12,43.84792894582556,0.6621591684705358,48.83143042409059,297.1768393535093,0.12159776915087075,0.0007139678943848442
0,0.0,0.0,8.0,2,11.108179991707061,0.9633564041682238,51.32035920530784,9.317422715549888,0.779170617517338,0.001078046447315103
1,0.0,0.0,8.0,2,1.3108206891209127,0.9990749870417708,51.456936932262686,0.8311325705029506,0.5037299199303987,0.01822160791782381
0,0.0,1.0,6.0,12,3.1973119148529707,0.9816331122235185,53.45126414901934,1.908828624903303,1.1601840484620862,0.0005
1,0.0,1.0,6.0,12,11.706359340357103,0.17672682827884548,53.59441207464513,3.197031212673703,1.1720322410341288,2.1288103838848382
0,0.0,0.0,-9.0,2,11.868759362464978,0.412704627747198,58.308413401592986,55.267974225723165,0.48756858278734316,0.0028521136837075093
1,0.0,0.0,-9.0,2,6.368930200167581,0.8135128210855567,58.467017182072205,4.815558578024348,1.1983552750158875,0.018980482919057434
0,-1.0,0.0,-7.0,12,55.03634478902227,0.830036249171811,58.71285369882186,148.45805899764457,0.19745746402676045,0.0024879268575774965
1,-1.0,0.0,-7.0,12,38.16028435974246,0.753955897752547,58.872776860852966,109.24771789524188,0.20344820481161066,0.0034005708667586257
0,0.0,1.0,8.0,12,149.3058644158204,0.8231734445185802,64.44173974535728,334.7327060889892,0.16737242636947447,0.010876652913382606
1,0.0,1.0,8.0,12,60.24437598682289,0.7823015998773784,64.62095032163384,146.141845028206,0.21015294405321275,0.004898449877346951
0,1.0,1.0,0.0,6,65.75771685912069,0.4460208860496738,65.20391514970513,132.27294116120189,0.36786021941729935,0.01848381778104355
1,1.0,1.0,0.0,6,179.84416467459084,0.559920217946451,65.38578208986989,714.7169700599418,0.09208368652227933,0.007416923130203897
0,-1.0,-1.0,1.0,12,64.0586113354954,0.680677558445727,65.57321393606357,269.45722824706246,0.08485447215621338,0.005939065697520725
1,-1.0,-1.0,1.0,12,2.4504759087134054,0.8489819594073105,65.75637614422376,14.847334697271183,0.08031817057500742,0.0005
0,0.0,0.0,-10.0,2,34.57543153339952,0.39863943115281314,65.54312100937732,87.51512958727622,0.21920160325395813,0.015101331611666957
1,0.0,0.0,-10.0,2,2.738827261871599,0.9312411453125019,65.72617746855941,12.581633123309683,0.07787357949880154,0.0012138298981873659
