system,a,b,c,alpha,beta,gamma
6,4.9382,8.53271,5.03096,90.0,109.46476,90.0
2,2.85948,2.85948,14.22574,90.0,90.0,120.0
1,8.16716,8.16716,8.16716,90.0,90.0,90.0
