H,K,L,Distance,2theta/TOF,Mult
-3,-5,5,1.1025,88.7332703,8
4,12,-1,1.0959,89.41026049,8
1,11,-5,1.0924,89.77421965,8
-2,0,-6,1.09,90.02581434,4
-5,-7,-1,1.0859,90.45949126,8
-5,-5,2,1.0855,90.50206552,1
-2,2,6,1.0836,90.70494172,8
-4,-6,-4,1.0749,91.64784009,4
0,12,-5,1.0736,91.79073755,4
-2,-10,5,1.0722,91.94522134,8
1,-7,-6,1.066,92.63688535,8
3,-11,-4,1.0652,92.7270393,8
2,4,6,1.0649,92.76090115,8
3,-7,5,1.0643,92.82871371,8
4,10,3,1.0634,92.93065533,8
0,8,-6,1.0603,93.28385064,4
5,-1,3,1.0602,93.29529766,8
-4,12,2,1.0579,93.55951335,8
5,7,-2,1.0489,94.61096822,8
5,-3,3,1.0485,94.65836293,8
-5,-9,1,1.0378,95.94791737,8
2,6,6,1.0358,96.19372187,4
4,8,-4,1.0338,96.44106986,8
5,-5,3,1.0261,97.4081007,8
-1,-9,-6,1.0204,98.13949275,8
-3,9,5,1.0189,98.33422736,8
4,2,-5,1.0167,98.62157644,8
2,12,-5,1.01,99.50969437,8
