No.,H,K,L,Mult,2theta/,Ints/
1,0,0,2,2,22.04624617154716,0.5605937223608807
2,0,2,0,4,22.28409947422316,1.0994791175037821
3,0,2,2,8,31.549090928633568,274.38616579654087
4,2,2,0,4,31.720111603480973,135.2421769754055
5,2,-2,2,8,38.96803427634409,19.227158722943027
6,0,0,-4,2,44.96729821316996,41.161491082612514
7,0,4,0,4,45.47182222843258,79.51590329945354
8,0,-2,4,8,50.74218576368414,0.46658793733724147
9,0,-4,-2,8,51.088944846449984,0.46032292876525016
10,4,2,0,8,51.20255083067416,0.45829850101606184
11,-2,2,4,16,56.07437156005852,104.29784809555198
12,-4,-2,-2,8,56.39628832930176,51.248815245025064
13,4,0,4,8,65.87248996187442,48.05680176987076
14,4,4,0,4,66.2676897807822,23.568265807563176
15,0,0,6,2,70.00943391973667,0.060261569669835584
16,-2,4,4,8,70.48466904018203,0.23797914908595433
17,-4,4,2,16,70.77074971078409,0.4723489344613049
18,0,-6,0,4,70.86258511596581,0.11780084497680986
19,0,2,-6,8,74.50198677550654,22.019048467356544
20,0,6,2,8,75.24910730467487,21.39531419557414
21,6,-2,0,8,75.34015646188641,21.321296555160203
22,-2,2,6,16,78.89799267769742,3.6156292671006693
23,-2,6,2,16,79.62823807684451,3.5212308807472636
24,4,4,4,1,83.68982914234229,3.004060072271616
25,-4,0,-6,8,87.53255670514908,0.16147394432005463
26,6,0,-4,8,87.97836125891156,0.16034787909304238
27,-4,6,0,8,88.33883750079352,0.15946849529760487
28,-4,-2,-6,16,91.81276883915976,28.20452369741229
29,-6,-2,-4,16,92.25605508105522,28.009341321156533
30,6,4,-2,16,92.52448708654414,27.894730395943988
31,0,0,8,2,99.79218451675716,4.482507748718692
32,-8,0,0,4,101.24939775028712,8.86005119987689
33,2,0,8,8,104.16698709188864,0.14427955169926476
34,4,-4,6,16,104.81957775979753,0.28913101991667567
35,-4,-6,-4,8,105.281203693162,0.14480188601555502
36,0,-8,-2,8,105.56073303405915,0.14495868446982088
37,-8,2,0,8,105.65434085538092,0.14501349004277395
38,-2,-2,8,8,108.61868696036322,12.665418815054426
39,0,6,-6,8,109.2965814011075,12.689851497645044
40,-8,-2,-2,8,110.05560481568256,12.723148705741234
41,6,6,0,4,110.1427642191394,6.363685761083423
42,2,6,6,8,113.88818488349364,1.0306905033524296
43,-6,-6,2,8,114.68078852508847,1.0348253473754345
44,0,4,-8,8,117.953592263826,18.41158397355438
45,8,0,4,8,119.17949139007152,18.62520404467399
46,-8,4,0,8,119.596648523911,18.702929545560824
47,2,-4,-8,16,122.90978926849876,0.3495104898433912
48,2,8,4,16,124.20315585760234,0.35732283866595416
49,-4,8,2,16,124.52706604695028,0.3593626572520503
