H,K,L,Distance,2theta/TOF,Mult
-1,-1,1,4.552,19.50104875065112,24
0,2,2,2.7875,32.110388138233425,12
-1,-3,-1,2.3772,37.8460384923949,24
2,-2,2,2.276,39.597457875120966,24
0,4,0,1.971,46.04983416217933,6
3,-1,3,1.8088,50.453947424814274,24
-2,2,4,1.6093,57.2455185922474,48
3,-3,-3,1.5173,61.07294363914323,24
4,0,4,1.3937,67.16626258898802,12
5,3,1,1.3327,70.68527016861181,48
0,6,2,1.2466,76.40141470726186,24
5,-3,3,1.2023,79.76336839663762,48
-2,6,2,1.1886,80.87150678025608,48
4,4,4,1.138,85.28691619336092,8
-1,7,1,1.104,88.58107875750582,48
