H,K,L,Distance,2theta/TOF,Mult
0,0,1,7.8488,11.273518101827703,6
-1,1,0,5.5499,15.969208834344592,24
0,2,0,3.9244,22.658036874291092,6
2,0,1,3.5101,25.37449491165061,24
1,-2,-1,3.2042,27.843523473505673,48
-2,-2,1,2.6162,34.275699578955845,24
3,1,0,2.482,36.191310546180915,24
-2,3,0,2.1768,41.483071188167905,24
-2,1,-3,2.0976,43.126090898635596,48
0,-1,4,1.9036,47.77975242864601,24
-4,1,-1,1.8499,49.25738169220651,48
4,2,0,1.755,52.11471066810096,24
2,-1,-4,1.7127,53.50272731009834,48
-3,-2,3,1.6733,54.86694090682395,48
0,-5,0,1.5697,58.82919396317243,6
3,1,-4,1.5392,60.113507653519136,48
2,4,-3,1.4574,63.87169517553134,48
2,-1,5,1.433,65.09196199014873,48
2,2,-5,1.3663,68.69895140577285,24
0,-5,3,1.346,69.8842744373937,24
-4,4,2,1.3081,72.22084440474018,48
1,6,0,1.2903,73.37832148593067,24
3,5,2,1.2732,74.52936613457693,48
0,-5,4,1.2257,77.947317979707,24
-5,1,-4,1.2111,79.06938029690286,48
0,6,3,1.17,82.4329802213218,24
6,-3,-1,1.1572,83.54802253411347,48
0,7,0,1.1212,86.87844431089081,6
-7,0,1,1.1099,87.98832815826944,24
