No.,H,K,L,Mult,2theta/,Ints/
1,0,0,2,2,22.124589040272625,0.5570721896622675
2,0,2,0,4,22.24569641410491,1.1031182243465572
3,0,2,2,8,31.57765506254408,273.7739941683924
4,2,2,0,4,31.66481285796469,135.89120043394934
5,2,-2,2,8,38.96803427634409,19.23027865239162
6,0,0,-4,2,45.132606960517705,40.70184376376288
7,0,4,0,4,45.39012433171654,79.975638083867
8,0,-2,4,8,50.872404918203046,0.4642952663826917
9,0,-4,-2,8,51.05221210407376,0.46105524588484187
10,4,2,0,8,51.1103976632069,0.4600142245202927
11,-2,2,4,16,56.17875746377224,103.72657666118486
12,-4,-2,-2,8,56.34361911949373,51.40306874087967
13,4,0,4,8,65.94062826039422,47.90420444608317
14,4,4,0,4,66.1406726403516,23.718707210883828
15,0,0,6,2,70.29132583545763,0.05981382040547867
16,-2,4,4,8,70.53318577750231,0.23770947116948404
17,-4,4,2,16,70.67917308738117,0.4735744117726152
18,0,-6,0,4,70.72798182210327,0.11824032952712223
19,0,2,-6,8,74.76298970295088,21.801330471577973
20,0,6,2,8,75.14435225176578,21.484488599684745
21,6,-2,0,8,75.18621558446463,21.45017105665534
22,-2,2,6,16,79.13973420196446,3.5844729465835785
23,-2,6,2,16,79.51733977462578,3.5358586167252
24,4,4,4,1,83.68982914234229,3.004547531475539
25,-4,0,-6,8,87.73004107795856,0.160995936703698
26,6,0,-4,8,87.96839699176971,0.1603986034134105
27,-4,6,0,8,88.14815753087133,0.1599561700372002
28,-4,-2,-6,16,92.00054427530762,28.125501306142223
29,-6,-2,-4,16,92.2337695837728,28.02352369420241
30,6,4,-2,16,92.36767556704406,27.96589507415688
31,0,0,8,2,100.26749068753234,4.463418309030596
32,-8,0,0,4,101.01209055288408,8.872722325309875
33,2,0,8,8,104.63639519267336,0.14450297167404683
34,4,-4,6,16,104.97286745797918,0.2893286972455143
35,-4,-6,-4,8,105.20389867219568,0.1447838296471205
36,0,-8,-2,8,105.34315440364786,0.14485925101838226
37,-8,2,0,8,105.38967986031264,0.14488501903563256
38,-2,-2,8,8,109.09201938637996,12.68400700775897
39,0,6,-6,8,109.43353215702874,12.697456903609554
40,-8,-2,-2,8,109.81255138348916,12.713869273468559
41,6,6,0,4,109.86451164732593,6.358120345735986
42,2,6,6,8,114.02241015712195,1.031521663337954
43,-6,-6,2,8,114.42778528009188,1.0336169566644895
44,0,4,-8,8,118.42229527061708,18.49366293841274
45,8,0,4,8,119.04866063042265,18.604374370544825
46,-8,4,0,8,119.2669512934126,18.644311823864154
47,2,-4,-8,16,123.39283119621513,0.35242388324876683
48,2,8,4,16,124.05456458369652,0.35645621733992733
49,-4,8,2,16,124.22797636807496,0.35753595538781996
