H,K,L,Distance,2theta/TOF,Mult
0,0,1,4.037,22.018046714943146,6
-1,1,0,2.8546,31.33595479827548,24
-1,-1,1,2.3307,38.630742237315914,24
0,2,0,2.0185,44.90621484101605,6
2,0,1,1.8054,50.55564214875599,24
1,-2,-1,1.6481,55.778355713429264,48
0,2,2,1.4273,65.38425773351214,12
-2,-2,1,1.3456,69.90807685759246,24
3,1,0,1.2766,74.29734593531863,24
-1,-3,-1,1.2172,78.5962045566147,24
2,-2,2,1.1653,82.83845394968431,24
-2,3,0,1.1196,87.03361714614215,24
-2,1,-3,1.0789,91.2114505205351,48
0,4,0,1.0092,99.6170738730821,6
0,-1,4,0.9791,103.88196277230271,24
-4,1,-1,0.9515,108.23397347443036,48
3,-1,3,0.9261,112.69981459086333,24
4,2,0,0.9027,117.302332928037,24
