H,K,L,Distance,2theta/TOF,Mult
0,0,1,2.866,31.208127945539907,6
-1,1,0,2.0265,44.719332600884975,24
-1,-1,1,1.6546,55.540244543064205,24
0,2,0,1.433,65.09196199014873,6
2,0,1,1.2817,73.95228221270241,24
1,-2,-1,1.17,82.4329802213218,48
0,2,2,1.0132,99.0830463091626,12
-2,-2,1,0.9553,107.60625859475188,24
3,1,0,0.9063,116.55908036272947,24
