code,H,K,L,Mult,wi,Ai,mu_i,intensity,L_gamma_i,G_sigma2_i,a=9.408480,b=9.408480,c=9.408480,alpha=90.000000,beta=90.000000,gamma=90.000000
0,2,1,1,24,1633.65117,0.614048191,23.13778528,2710.414637,1.159613353,0.010670556,,,,,,
1,2,1,1,24,726.1911537,0.540784826,23.19596777,1318.824394,1.176789858,0.012037042,,,,,,
0,2,2,0,24,1217.132585,1,26.77911878,412.2736057,0.939728688,0.0005,,,,,,
1,2,2,0,24,6.626394998,1,26.84677755,1.943483461,1.085291993,0.0005,,,,,,
0,1,3,0,12,92.0039839,1,30.01006008,40.31309277,0.726458227,0.000536923,,,,,,
1,1,3,0,12,216.4263058,0.924976893,30.08624788,89.08063106,0.777557662,0.825643643,,,,,,
0,3,1,0,12,92.0039839,1,30.01006008,40.31309277,0.726458227,0.000536923,,,,,,
1,3,1,0,12,216.4263058,0.924976893,30.08624788,89.08063106,0.777557662,0.825643643,,,,,,
0,2,2,2,12,7111.425783,0.686863551,32.9521506,19812.63817,0.110711267,0.023715268,,,,,,
1,2,2,2,12,3902.672221,0.744610887,33.03621796,12171.94197,0.103952476,0.014753161,,,,,,
0,2,3,1,12,133.035376,0.787389978,35.67749812,166.2647519,0.880513234,0.007723482,,,,,,
1,2,3,1,12,134.7581741,0.791955558,35.7689723,46.04768931,0.9208779,1.491534602,,,,,,
0,3,2,1,12,133.035376,0.787389978,35.67749812,166.2647519,0.880513234,0.007723482,,,,,,
1,3,2,1,12,134.7581741,0.791955558,35.7689723,46.04768931,0.9208779,1.491534602,,,,,,
0,4,0,0,12,1818.503306,0.616648731,38.23303942,3795.576178,0.567753001,0.007712224,,,,,,
1,4,0,0,12,463.1274756,0.382627618,38.33156297,1968.674918,0.105563997,0.006324259,,,,,,
0,3,3,0,8,69.90509832,0.798377733,40.65135721,256.4398183,0.868667738,0.000567717,,,,,,
1,3,3,0,8,185.6916656,0.933704059,40.75665302,53.6562093,1.105033885,1.749532627,,,,,,
0,4,1,1,8,69.90509832,0.798377733,40.65135721,256.4398183,0.868667738,0.000567717,,,,,,
1,4,1,1,8,185.6916656,0.933704059,40.75665302,53.6562093,1.105033885,1.749532627,,,,,,
0,2,4,0,24,74.09622862,0.953071747,42.95617016,191.7130527,0.1733462,0.0005,,,,,,
1,2,4,0,24,342.4232319,0.936914982,43.06802001,110.0436801,1.003454069,1.084699853,,,,,,
0,4,2,0,24,74.09622862,0.953071747,42.95617016,191.7130527,0.1733462,0.0005,,,,,,
1,4,2,0,24,342.4232319,0.936914982,43.06802001,110.0436801,1.003454069,1.084699853,,,,,,
0,3,3,2,24,1044.245811,0.783026329,45.16538874,2129.997216,0.192547117,0.01348932,,,,,,
1,3,3,2,24,382.2308749,0.801103854,45.28361927,869.3446531,0.17660911,0.009127626,,,,,,
0,4,2,2,24,124.9896196,0.794008873,47.29293859,399.4905571,0.245300245,0.001439652,,,,,,
1,4,2,2,24,158.3731367,0.898269966,47.4174118,234.8118456,0.525599876,0.001869455,,,,,,
0,1,5,0,6,373.8218124,0.605516176,49.34990934,976.9011642,0.17077259,0.011236719,,,,,,
1,1,5,0,6,186.0654306,0.839984319,49.48051579,96.9891979,0.751632076,0.148714,,,,,,
0,3,4,1,6,373.8218124,0.605516176,49.34990934,976.9011642,0.17077259,0.011236719,,,,,,
1,3,4,1,6,186.0654306,0.839984319,49.48051579,96.9891979,0.751632076,0.148714,,,,,,
0,4,3,1,12,373.8218124,0.605516176,49.34990934,976.9011642,0.17077259,0.011236719,,,,,,
1,4,3,1,12,186.0654306,0.839984319,49.48051579,96.9891979,0.751632076,0.148714,,,,,,
0,5,1,0,24,373.8218124,0.605516176,49.34990934,976.9011642,0.17077259,0.011236719,,,,,,
1,5,1,0,24,186.0654306,0.839984319,49.48051579,96.9891979,0.751632076,0.148714,,,,,,
0,2,5,1,12,174.1826051,0.985114792,53.28658901,519.8582177,0.115326643,0.0005,,,,,,
1,2,5,1,12,516.1140071,0.768945983,53.42922485,109.519981,1.445013046,4.634748319,,,,,,
0,5,2,1,24,174.1826051,0.985114792,53.28658901,519.8582177,0.115326643,0.0005,,,,,,
1,5,2,1,24,516.1140071,0.768945983,53.42922485,109.519981,1.445013046,4.634748319,,,,,,
0,4,4,0,12,3205.508143,0.786855795,55.17998947,6996.906212,0.16169301,0.018001487,,,,,,
1,4,4,0,12,1053.938529,0.750915508,55.32855887,2595.166091,0.16266006,0.010016551,,,,,,
0,3,5,0,12,75.23533568,0.942782833,57.03081916,111.6131579,0.252372775,0.006010966,,,,,,
1,3,5,0,12,31.94758917,0.990180557,57.18528905,122.3227792,0.086227534,0.000509233,,,,,,
0,4,3,3,12,75.23533568,0.942782833,57.03081916,111.6131579,0.252372775,0.006010966,,,,,,
1,4,3,3,12,31.94758917,0.990180557,57.18528905,122.3227792,0.086227534,0.000509233,,,,,,
0,5,3,0,12,75.23533568,0.942782833,57.03081916,111.6131579,0.252372775,0.006010966,,,,,,
1,5,3,0,12,31.94758917,0.990180557,57.18528905,122.3227792,0.086227534,0.000509233,,,,,,
0,4,4,2,24,40.79854757,0.991893818,58.84364015,94.54717643,0.138836391,0.005577339,,,,,,
1,4,4,2,24,136.6384773,0.913815751,59.00399109,46.06462501,0.940263657,1.532786313,,,,,,
